CurrentClinicName1,CurrentClinicCity,CurrentClinicState,TotNumCycles1,TotNumCycles2
ROCKY MOUNTAIN FERTILITY CENTER,PARKER,COLORADO,70,38
CENTER FOR ADVANCED REPRODUCTIVE SERVICES,FARMINGTON,CONNECTICUT,626,369
"GREENWICH FERTILITY AND IVF CENTER, PC",GREENWICH,CONNECTICUT,191,162
YALE FERTILITY CENTER,NEW HAVEN,CONNECTICUT,225,148
REPRODUCTIVE MEDICINE ASSOCIATES OF CONNECTICUT,NORWALK,CONNECTICUT,594,369
NEW ENGLAND FERTILITY INSTITUTE,STAMFORD,CONNECTICUT,68,46
PARK AVENUE FERTILITY AND REPRODUCTIVE MEDICINE,TRUMBULL,CONNECTICUT,61,46
"DELAWARE INSTITUTE FOR REPRODUCTIVE MEDICINE, PA",NEWARK,DELAWARE,180,67
REPRODUCTIVE ASSOCIATES OF DELAWARE,NEWARK,DELAWARE,302,182
COLUMBIA FERTILITY ASSOCIATES,WASHINGTON,DISTRICT OF COLUMBIA,197,194
GEORGE WASHINGTON UNIVERSITY MEDICAL FACULTY ASSOCIATES,WASHINGTON,DISTRICT OF COLUMBIA,108,134
BOCAFERTILITY,BOCA RATON,FLORIDA,87,41
PALM BEACH FERTILITY CENTER,BOCA RATON,FLORIDA,59,29
POLCZ FERTILITY CENTER,BOYNTON BEACH,FLORIDA,6,9
FLORIDA FERTILITY INSTITUTE,CLEARWATER,FLORIDA,108,57
CONCEPTIONS FLORIDA: CENTER FOR FERTILITY AND GENETICS,CORAL GABLES,FLORIDA,125,105
"SOUTHWEST FLORIDA FERTILITY CENTER, PA",FORT MYERS,FLORIDA,21,6
"SPECIALISTS IN REPRODUCTIVE MEDICINE AND SURGERY, PA",FORT MYERS,FLORIDA,54,26
UF HEALTH REPRODUCTIVE MEDICINE AT SPRINGHILL,GAINESVILLE,FLORIDA,59,12
ASSISTED FERTILITY PROGRAM,JACKSONVILLE,FLORIDA,53,28
BROWN FERTILITY,JACKSONVILLE,FLORIDA,345,144
FLORIDA INSTITUTE FOR REPRODUCTIVE MEDICINE,JACKSONVILLE,FLORIDA,581,272
JACKSONVILLE CENTER FOR REPRODUCTIVE MEDICINE,JACKSONVILLE,FLORIDA,177,91
IVF FLORIDA REPRODUCTIVE ASSOCIATES,MARGATE,FLORIDA,533,323
VIERA FERTILITY CENTER,MELBOURNE,FLORIDA,51,31
"FERTILITY & IVF CENTER OF MIAMI, INC.",MIAMI,FLORIDA,156,109
UNIVERSITY OF MIAMI INFERTILITY CENTER,MIAMI,FLORIDA,103,55
"NEW LEADERS IN FERTILITY & ENDOCRINOLOGY, LLC",PENSACOLA,FLORIDA,165,77
FERTILITY & GENETICS,PLANTATION,FLORIDA,101,56
FERTILITY CENTER & APPLIED GENETICS OF FLORIDA,SARASOTA,FLORIDA,73,38
IVFMD/SOUTH FLORIDA INSTITUTE FOR REPRODUCTIVE MEDICINE,SOUTH MIAMI,FLORIDA,522,385
THE REPRODUCTIVE MEDICINE GROUP,TAMPA,FLORIDA,463,284
UNIVERSITY OF SOUTH FLORIDA IVF,TAMPA,FLORIDA,162,110
F.I.R.S.T.,WESTON,FLORIDA,30,7
"ADVANCED REPRODUCTIVE SPECIALISTS, LLC",WINTER PARK,FLORIDA,28,18
"CENTER FOR REPRODUCTIVE MEDICINE, PA",WINTER PARK,FLORIDA,647,319
FERTILITY CARE,WINTER PARK,FLORIDA,91,50
ATLANTA CENTER FOR REPRODUCTIVE MEDICINE,ATLANTA,GEORGIA,737,404
EMORY REPRODUCTIVE CENTER,ATLANTA,GEORGIA,177,141
REPRODUCTIVE BIOLOGY ASSOCIATES,ATLANTA,GEORGIA,855,454
SHADY GROVE FERTILITY-ATLANTA,ATLANTA,GEORGIA,189,128
REPRODUCTIVE MEDICINE AND INFERTILITY ASSOCIATES,AUGUSTA,GEORGIA,69,37
SERVY MASSEY FERTILITY INSTITUTE,AUGUSTA,GEORGIA,92,62
"COLUMBUS CENTER FOR REPRODUCTIVE ENDOCRINOLOGY AND INFERTILITY, LLC",COLUMBUS,GEORGIA,89,32
THE GEORGIA CENTER FOR REPRODUCTIVE MEDICINE,SAVANNAH,GEORGIA,122,41
ADVANCED REPRODUCTIVE CENTER OF HAWAII,HONOLULU,HAWAII,60,60
FERTILITY INSTITUTE OF HAWAII,HONOLULU,HAWAII,133,88
IVF HAWAII,HONOLULU,HAWAII,46,59
PACIFIC IN VITRO FERTILIZATION INSTITUTE,HONOLULU,HAWAII,103,103
TRIPLER ARMY MEDICAL CENTER IVF INSTITUTE,TRIPLER AMC,HAWAII,97,69
IDAHO CENTER FOR REPRODUCTIVE MEDICINE,BOISE,IDAHO,248,144
RUSH-COPLEY CENTER FOR REPRODUCTIVE HEALTH,AURORA,ILLINOIS,66,31
FERTILITY CENTERS OF ILLINOIS-RIVER NORTH IVF,CHICAGO,ILLINOIS,"1,241",876
INSTITUTE FOR HUMAN REPRODUCTION (IHR),CHICAGO,ILLINOIS,226,111
NORTHWESTERN FERTILITY AND REPRODUCTIVE MEDICINE,CHICAGO,ILLINOIS,700,487
